Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De l’homicidi i les seves formes;Homicidi temptativa;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsedats documentals;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsificació de moneda i efectes timbrats;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les lesions;Lesions;37;30;9
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;3;;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;103;12;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;3;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;126;12;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;147;18;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;10;8;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;119;9;9
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;64;5;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;19;3;4
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;8;6;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;2;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l’honor;Injúria;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;4;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Amenaces;35;31;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Coaccions;6;6;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;2;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;2;4;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;;;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Trencament de condemna;5;5;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra les relacions familiars;Contra els drets i deures familiars;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;5;5;6
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;2;3;1
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De l’homicidi i les seves formes;Homicidi per imprudència;1;1;6
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De l’homicidi i les seves formes;Homicidi temptativa;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsedats documentals;5;5;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsificació de moneda i efectes timbrats;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les lesions;Lesions;58;46;9
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;4;4;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;12;7;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;182;15;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;5;3;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;166;23;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;369;89;19
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;43;37;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;5;6;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;82;15;15
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;177;7;5
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;135;18;12
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;31;23;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;5;5;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a vivenda aliena;3;3;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat;Amenaces;38;36;8
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat;Coaccions;7;5;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;3;2;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;3;2;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;2;2;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Trencament de condemna;4;4;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra les relacions familiars;Contra els drets i deures familiars;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'ordre públic;Desordres públics;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'ordre públic;Organitzacions i grups criminals;;;1
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;14;12;10
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;7;9;5
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Dels delictes contra la seguretat col·lectiva;Incendi;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De l’homicidi i les seves formes;Homicidi temptativa;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De les falsedats;Falsedats documentals;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De les falsedats;Falsificació de moneda i efectes timbrats;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De les lesions;Lesions;36;38;11
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;9;4;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;135;7;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;127;21;3
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;174;28;2
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;19;14;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;68;14;11
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;47;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;15;3;8
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;4;4;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a vivenda aliena;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Amenaces;20;18;2
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Coaccions;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Detenció il·legal;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;3;4;2
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;2;2;1
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Trencament de condemna;8;9;3
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra les relacions familiars;Contra els drets i deures familiars;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'ordre públic;Organitzacions i grups criminals;;;1
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes contra els drets dels treballadors;Contra els drets dels treballadors;;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;6;6;5
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra el patrimoni històric;;1;
1;gener;2019;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De l’homicidi i les seves formes;Homicidi temptativa;2;2;2
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les falsedats;De la usurpació de l'estat civil;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Falsedats documentals;4;1;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Falsificació de moneda i efectes timbrats;2;2;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Usurpació de funcions publiques i intrusisme;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les lesions;Lesions;65;56;8
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;5;5;1
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;5;4;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;146;15;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;10;3;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;216;17;1
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;353;51;3
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;9;8;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;1;2;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;316;26;25
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;92;1;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;37;19;14
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;12;6;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;5;5;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l’honor;Calumnia;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;4;2;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a vivenda aliena;5;3;1
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat;Amenaces;30;28;2
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat;Coaccions;4;2;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;4;3;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;3;4;3
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Exhibicionisme i provocació sexual;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;3;2;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'Administració de justícia;Trencament de condemna;16;16;4
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra les relacions familiars;Contra els drets i deures familiars;4;4;
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'ordre públic;Organitzacions i grups criminals;;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;6;7;6
1;gener;2019;RP  Metropolitana Nord;ABP Granollers;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;15;13;6
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De l’homicidi i les seves formes;Homicidi temptativa;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De les falsedats;De la usurpació de l'estat civil;2;1;3
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De les falsedats;Falsedats documentals;7;4;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De les falsedats;Falsificació de moneda i efectes timbrats;2;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De les lesions;Lesions;37;35;4
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;5;3;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;142;7;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;9;5;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;141;8;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;244;36;3
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;11;10;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;3;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;99;3;8
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;118;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;57;7;16
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;17;8;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;3;;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat;Amenaces;22;21;5
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat;Coaccions;6;5;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra l'Administració de justícia;Trencament de condemna;4;3;
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;3;2;2
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;7;6;3
1;gener;2019;RP  Metropolitana Nord;ABP Mataró;Dels delictes contra la seguretat col·lectiva;Incendi;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;De l’homicidi i les seves formes;Homicidi per imprudència;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;De les falsedats;De la usurpació de l'estat civil;3;;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;De les falsedats;Falsedats documentals;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;De les lesions;Lesions;19;13;3
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;4;2;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;62;3;1
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluïd elèctric i anàlogues;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;58;10;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;74;10;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;13;12;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;69;11;1
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;22;;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;10;4;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;7;3;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat;Amenaces;17;15;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat;Coaccions;4;4;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat;Detenció il·legal;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;2;4;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat i la indemnitat sexuals;Assetjament sexual;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;1;2;
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra l'Administració de justícia;Trencament de condemna;6;7;1
1;gener;2019;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;2;2;4
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;De les falsedats;Falsedats documentals;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;De les falsedats;Falsificació de moneda i efectes timbrats;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;De les lesions;Lesions;24;24;4
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;5;5;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;4;1;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;107;5;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;118;16;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;91;5;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;3;1;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;86;14;14
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;61;5;7
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;23;6;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;12;5;1
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a vivenda aliena;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra la llibertat;Amenaces;14;13;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra la llibertat;Coaccions;5;3;
1;gener;2019;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;1;1;
